vgchartz_game,twitch_game,similarity_score,match_quality
Grand Theft Auto V,Grand Theft Auto V,383,Poor
Grand Theft Auto V,Grand Theft Auto V,383,Poor
Grand Theft Auto: Vice City,Grand Theft Auto: Vice City,547,Poor
Grand Theft Auto V,Grand Theft Auto V,383,Poor
Call of Duty: Black Ops 3,Call of Duty: Black Ops III,511,Poor
Call of Duty: Modern Warfare 3,Call of Duty: Modern Warfare 3,611,Poor
Call of Duty: Black Ops,Call of Duty: Black Ops,467,Poor
Red Dead Redemption 2,Red Dead Redemption 2,443,Poor
Call of Duty: Black Ops II,Call of Duty: Black Ops II,511,Poor
Call of Duty: Black Ops II,Call of Duty: Black Ops II,511,Poor
Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2,611,Poor
Call of Duty: WWII,Call of Duty: WWII,363,Poor
Call of Duty: Modern Warfare 3,Call of Duty: Modern Warfare 3,611,Poor
Grand Theft Auto III,Grand Theft Auto III,383,Poor
Call of Duty: Black Ops,Call of Duty: Black Ops,467,Poor
FIFA 18,FIFA 18,155,Poor
Grand Theft Auto IV,Grand Theft Auto IV,383,Poor
FIFA 17,FIFA 17,155,Poor
Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2,611,Poor
Grand Theft Auto IV,Grand Theft Auto IV,383,Poor
Call of Duty: Ghosts,Call of Duty: Ghosts,403,Poor
Call of Duty: Ghosts,Call of Duty: Ghosts,403,Poor
Halo: Reach,Halo: Reach,215,Poor
Halo 4,Halo 4,135,Poor
Call of Duty 4: Modern Warfare,Call of Duty 4: Modern Warfare,611,Poor
Call of Duty: Black Ops IIII,Call of Duty: Black Ops III,511,Poor
FIFA 19,FIFA 19,155,Poor
The Elder Scrolls V: Skyrim,The Elder Scrolls V: Skyrim,547,Poor
Grand Theft Auto V,Grand Theft Auto V,383,Poor
Call of Duty: Infinite Warfare,Call of Duty: Infinite Warfare,607,Poor
Fallout 4,Fallout 4,195,Poor
FIFA 16,FIFA 16,155,Poor
Star Wars Battlefront (2015),Star Wars Battlefront II,483,Poor
FIFA 13,,0,Poor
The Sims 3,,0,Poor
Grand Theft Auto: Liberty City Stories,Tetris,77,Fair
Call of Duty: Advanced Warfare,Call of Duty,259,Poor
Call of Duty: World at War,Call of Duty,259,Poor
Call of Duty: Black Ops 3,Call of Duty: Black Ops III,511,Poor
Battlefield 3,,0,Poor
Battlefield 1,Battlefield 1,275,Poor
Battlefield 3,,0,Poor
Need for Speed Underground,Need for Speed,299,Poor
Need for Speed Underground 2,Need for Speed,299,Poor
Just Dance 4,,0,Poor
Medal of Honor: Frontline,,0,Poor
Uncharted 2: Among Thieves,Uncharted 2: Among Thieves,523,Poor
Call of Duty 4: Modern Warfare,Call of Duty 4: Modern Warfare,611,Poor
FIFA Soccer 12,,0,Poor
FIFA 14,,0,Poor
Red Dead Redemption,Red Dead Redemption,399,Poor
Red Dead Redemption,Red Dead Redemption,399,Poor
Assassin's Creed III,,0,Poor
The Elder Scrolls V: Skyrim,The Elder Scrolls V: Skyrim,547,Poor
Minecraft,Minecraft,191,Poor
FIFA 15,,0,Poor
Driver,,0,Poor
Call of Duty: WWII,Call of Duty: WWII,363,Poor
Minecraft,Minecraft,191,Poor
Red Dead Redemption 2,Red Dead Redemption 2,443,Poor
Destiny,Destiny,151,Poor
Tekken 2,,0,Poor
LEGO Star Wars: The Complete Saga,LEGO Star Wars: The Complete Saga,671,Poor
Cooking Mama,,0,Poor
Assassin's Creed II,Assassin's Creed II,359,Poor
Assassin's Creed,,0,Poor
Batman: Arkham City,Batman: Arkham City,379,Poor
Forza Motorsport 3,Forza Motorsport,335,Poor
Call of Duty: World at War,Call of Duty,259,Poor
Minecraft,Minecraft,191,Poor
Crash Bandicoot: The Wrath of Cortex,Crash Bandicoot,315,Poor
Final Fantasy XIII,Final Fantasy XII,379,Poor
Assassin's Creed III,,0,Poor
Assassin's Creed II,Assassin's Creed II,359,Poor
Tomb Raider II,Tomb Raider II,279,Poor
Madden NFL 2004,Madden NFL 20,279,Poor
Call of Duty: Advanced Warfare,Call of Duty,259,Poor
Medal of Honor: Rising Sun,,0,Poor
Battlefield 1,Battlefield 1,275,Poor
Microsoft Flight Simulator,Microsoft Flight Simulator,539,Poor
Guitar Hero II,,0,Poor
FIFA 13,,0,Poor
Mario & Sonic at the Olympic Games,Miitopia,122,Poor
Fable III,,0,Poor
Resident Evil 5,Resident Evil 5,319,Poor
FIFA Soccer 11,,0,Poor
Grand Theft Auto: Vice City Stories,Grand Theft Auto: Vice City,547,Poor
Final Fantasy XV,Final Fantasy XV,359,Poor
Fallout 4,Fallout 4,195,Poor
Tony Hawk's Pro Skater,Tony Hawk's Pro Skater,443,Poor
Warzone 2100,,0,Poor
Guitar Hero III: Legends of Rock,Guitar Hero III: Legends of Rock,611,Poor
Uncharted: Drake's Fortune,Hades,81,Fair
Fallout 3,Fallout 3,195,Poor
Madden NFL 06,,0,Poor
Call of Duty: Black Ops IIII,Call of Duty: Black Ops III,511,Poor
Assassin's Creed,,0,Poor
Crash Bandicoot N. Sane Trilogy,Crash Bandicoot N. Sane Trilogy,627,Poor
Call of Duty: Infinite Warfare,Call of Duty: Infinite Warfare,607,Poor
Crash Team Racing,TERA,81,Fair
LEGO Star Wars: The Complete Saga,LEGO Star Wars: The Complete Saga,671,Poor
Batman: Arkham City,Batman: Arkham City,379,Poor
Driver 2,,0,Poor
The Simpsons: Hit & Run,The Simpsons: Hit & Run,470,Poor
Tony Hawk's Pro Skater 2,Tony Hawk's Pro Skater,443,Poor
The Lord of the Rings: The Two Towers,Tetris,104,Poor
Tomb Raider,,0,Poor
Forza Motorsport 4,Forza Motorsport,335,Poor
Guitar Hero III: Legends of Rock,Guitar Hero III: Legends of Rock,611,Poor
FIFA 15,,0,Poor
Mario & Sonic at the Olympic Winter Games,Miitopia,115,Poor
Overwatch,Overwatch,191,Poor
Guitar Hero III: Legends of Rock,Guitar Hero III: Legends of Rock,611,Poor
Star Wars Battlefront II (2017),Star Wars Battlefront II,483,Poor
Madden NFL 2005,Madden NFL 20,279,Poor
Spider-Man: The Movie,Anthem,115,Poor
The Elder Scrolls IV: Oblivion,The Elder Scrolls IV: Oblivion,587,Poor
Tony Hawk's Pro Skater 3,Tony Hawk's Pro Skater,443,Poor
